Temperature	0.0uM_1	0.0uM_2	
44.318268	0.080569	0.08472
44.337955	0.080913	0.085071
44.357643	0.081258	0.085423
44.377335	0.081604	0.085775
44.397022	0.081952	0.086128
44.41671	0.0823	0.086482
44.436398	0.082649	0.086837
44.456085	0.083	0.087193
44.475777	0.083351	0.08755
44.495464	0.083703	0.087908
44.515152	0.084057	0.088266
44.53484	0.084411	0.088626
44.554527	0.084767	0.088986
44.57422	0.085123	0.089347
44.593906	0.08548	0.089709
44.613594	0.085839	0.090073
44.63328	0.086198	0.090436
44.65297	0.086559	0.090801
44.672657	0.08692	0.091167
44.69235	0.087283	0.091534
44.712036	0.087646	0.091901
44.731724	0.08801	0.092269
44.75141	0.088376	0.092639
44.7711	0.088742	0.093009
44.79079	0.08911	0.09338
44.81048	0.089478	0.093752
44.830166	0.089848	0.094125
44.849854	0.090218	0.094499
44.86954	0.09059	0.094874
44.889233	0.090962	0.09525
44.90892	0.091335	0.095627
44.928608	0.09171	0.096005
44.948296	0.092085	0.096384
44.967983	0.092462	0.096763
44.987675	0.092839	0.097144
45.007362	0.093218	0.097526
45.02705	0.093598	0.097909
45.046738	0.093978	0.098293
45.066425	0.09436	0.098678
45.086113	0.094743	0.099065
45.105804	0.095126	0.099452
45.125492	0.095511	0.09984
45.14518	0.095897	0.10023
45.164867	0.096284	0.10062
45.184555	0.096672	0.101012
45.204247	0.097062	0.101405
45.223934	0.097452	0.101798
45.24362	0.097843	0.102193
45.26331	0.098236	0.102589
45.282997	0.098629	0.102986
45.30269	0.099024	0.103385
45.322376	0.099419	0.103784
45.342064	0.099816	0.104184
45.36175	0.100214	0.104586
45.38144	0.100613	0.104988
45.401127	0.101013	0.105392
45.42082	0.101415	0.105797
45.440506	0.101817	0.106202
45.460194	0.10222	0.106609
45.47988	0.102625	0.107017
45.49957	0.103031	0.107426
45.51926	0.103438	0.107836
45.538948	0.103846	0.108247
45.558636	0.104255	0.108659
45.578323	0.104665	0.109072
45.59801	0.105077	0.109486
45.617702	0.105489	0.109901
45.63739	0.105903	0.110317
45.657078	0.106318	0.110734
45.676765	0.106734	0.111152
45.696453	0.107152	0.11157
45.71614	0.10757	0.11199
45.735832	0.10799	0.112411
45.75552	0.108411	0.112833
45.775208	0.108833	0.113255
45.794895	0.109256	0.113679
45.814583	0.10968	0.114103
45.834274	0.110106	0.114529
45.853962	0.110533	0.114955
45.87365	0.11096	0.115382
45.893337	0.111389	0.11581
45.913025	0.11182	0.116239
45.932716	0.112251	0.116669
45.952404	0.112684	0.1171
45.97209	0.113117	0.117531
45.99178	0.113552	0.117963
46.011467	0.113988	0.118397
46.03116	0.114426	0.118831
46.050846	0.114864	0.119266
46.070534	0.115303	0.119701
46.09022	0.115744	0.120138
46.10991	0.116186	0.120575
46.129597	0.116629	0.121014
46.14929	0.117073	0.121452
46.168976	0.117518	0.121892
46.188663	0.117964	0.122333
46.20835	0.118411	0.122774
46.22804	0.11886	0.123216
46.24773	0.11931	0.123659
46.267418	0.11976	0.124103
46.287106	0.120212	0.124547
46.306793	0.120665	0.124992
46.32648	0.12112	0.125438
46.346172	0.121575	0.125885
46.36586	0.122031	0.126332
46.385548	0.122489	0.126781
46.405235	0.122948	0.12723
46.424923	0.123407	0.12768
46.44461	0.123868	0.12813
46.464302	0.12433	0.128582
